Date,Room,Shift,Faculty1,Faculty2,Staff
2026-05-13,Room 101,Morning,Dr. John Smith,Dr. Michael Wilson,Mr. David Garcia
2026-05-13,Room 101,Afternoon,Dr. John Smith,Dr. Michael Wilson,Mr. David Garcia
2026-05-13,Room 102,Morning,Dr. Robert Brown,Ms. Sarah Davis,Mr. James Anderson
2026-05-13,Room 102,Afternoon,Dr. Robert Brown,Ms. Sarah Davis,Mr. James Anderson
2026-05-13,Room 103,Morning,Prof. Mary Johnson,prof.Santanu Ghosh,Ms. Jennifer Lopez
2026-05-13,Room 103,Afternoon,Prof. Mary Johnson,prof.Santanu Ghosh,Ms. Jennifer Lopez
2026-05-13,Room 201,Morning,,,Ms. Lisa Martinez
2026-05-13,Room 201,Afternoon,,,Ms. Lisa Martinez
2026-05-13,Room 202,Morning,,,
2026-05-13,Room 202,Afternoon,,,
2026-05-11,Room 101,Morning,Dr. John Smith,Dr. Michael Wilson,Mr. David Garcia
2026-05-11,Room 101,Afternoon,Dr. John Smith,Dr. Michael Wilson,Mr. David Garcia
2026-05-11,Room 102,Morning,Dr. Robert Brown,Ms. Sarah Davis,Mr. James Anderson
2026-05-11,Room 102,Afternoon,Dr. Robert Brown,Ms. Sarah Davis,Mr. James Anderson
2026-05-11,Room 103,Morning,Prof. Mary Johnson,prof.Santanu Ghosh,Ms. Jennifer Lopez
2026-05-11,Room 103,Afternoon,Prof. Mary Johnson,prof.Santanu Ghosh,Ms. Jennifer Lopez
2026-05-11,Room 201,Morning,,,Ms. Lisa Martinez
2026-05-11,Room 201,Afternoon,,,Ms. Lisa Martinez
2026-05-11,Room 202,Morning,,,
2026-05-11,Room 202,Afternoon,,,
2026-05-27,Room 101,Morning,,,
2026-05-27,Room 101,Afternoon,,,
2026-05-27,Room 102,Morning,,,
2026-05-27,Room 102,Afternoon,,,
2026-05-27,Room 103,Morning,,,
2026-05-27,Room 103,Afternoon,,,
2026-05-27,Room 201,Morning,,,
2026-05-27,Room 201,Afternoon,,,
2026-05-27,Room 202,Morning,,,
2026-05-27,Room 202,Afternoon,,,
2026-05-18,Room 101,Morning,,,
2026-05-18,Room 101,Afternoon,Dr. John Smith,Dr. Michael Wilson,Mr. David Garcia
2026-05-18,Room 102,Morning,,,
2026-05-18,Room 102,Afternoon,Dr. Robert Brown,Ms. Sarah Davis,Mr. James Anderson
2026-05-18,Room 103,Morning,,,
2026-05-18,Room 103,Afternoon,Prof. Mary Johnson,prof.Santanu Ghosh,Ms. Jennifer Lopez
2026-05-18,Room 201,Morning,,,
2026-05-18,Room 201,Afternoon,,,Ms. Lisa Martinez
2026-05-18,Room 202,Morning,,,
2026-05-18,Room 202,Afternoon,,,
